971,tak,tak,5,1023
80,tak,tak,1,561
875,tak,tak,7,636
872,tak,tak,9,250
910,tak,tak,8,448
930,tak,tak,9,721
979,tak,tak,9,355
,nie,nie,3,261
228,tak,tak,2,524
1,tak,tak,9,767
,nie,nie,7,199
765,tak,tak,2,228
647,tak,tak,5,1240
,tak,nie,6,995
431,tak,tak,7,684
923,tak,tak,3,437
799,tak,tak,1,1221
690,tak,tak,6,592
,tak,nie,8,135
,nie,nie,2,720
95,tak,tak,8,435
761,tak,tak,9,300
527,tak,tak,5,109
748,tak,tak,3,794
279,tak,tak,8,724
474,tak,tak,4,946
681,tak,tak,10,1156
95,tak,tak,4,895
,tak,nie,10,4
627,nie,tak,3,138
276,tak,tak,5,29
381,nie,tak,10,1031
919,tak,tak,4,1050
756,tak,tak,2,212
229,nie,tak,7,749
919,tak,tak,4,813
718,tak,tak,7,484
600,tak,tak,6,284
640,tak,tak,7,462
624,tak,tak,9,904
733,nie,tak,1,337
,tak,nie,3,981
197,nie,tak,9,453
634,nie,tak,1,796
854,tak,tak,9,1193
787,tak,tak,7,840
966,tak,tak,4,176
240,tak,tak,4,1016
133,nie,tak,5,493
636,tak,tak,7,632
,tak,nie,4,651
746,tak,tak,2,269
644,tak,tak,5,507
592,tak,tak,6,542
813,tak,tak,9,9
599,tak,tak,5,197
301,tak,tak,2,137
927,tak,tak,2,657
620,tak,tak,4,266
219,tak,tak,2,193
,tak,nie,1,359
226,tak,tak,1,168
455,tak,tak,5,340
865,tak,tak,2,880
207,tak,tak,4,959
46,tak,tak,3,1001
804,tak,tak,5,879
281,tak,tak,1,88
562,tak,tak,2,200
242,tak,tak,8,1108
874,nie,tak,1,69
310,tak,tak,10,401
49,nie,tak,7,335
256,tak,tak,9,1191
338,nie,tak,6,1014
786,tak,tak,2,708
291,tak,tak,7,934
743,tak,tak,2,787
595,tak,tak,7,847
956,nie,tak,4,923
471,tak,tak,8,153
,tak,nie,4,605
454,tak,tak,9,585
521,tak,tak,9,354
650,tak,tak,10,444
658,tak,tak,8,698
951,tak,tak,1,1220
22,tak,tak,7,274
,tak,nie,1,664
414,tak,tak,7,1227
264,nie,tak,2,825
57,tak,tak,6,935
877,tak,tak,1,427
76,tak,tak,9,1185
896,tak,tak,6,1237
560,tak,tak,4,130
972,tak,tak,1,206
998,tak,tak,4,1097
439,tak,tak,6,802
82,tak,tak,3,738
391,tak,tak,5,807
389,tak,tak,7,572
676,tak,tak,5,1204
530,tak,tak,2,663
333,nie,tak,2,873
787,tak,tak,6,829
,tak,nie,10,644
642,tak,tak,6,1046
965,nie,tak,5,1232
,nie,nie,1,852
,tak,nie,6,820
437,tak,tak,8,815
477,tak,tak,3,631
,tak,nie,2,262
598,tak,tak,1,906
386,tak,tak,1,1238
,tak,nie,3,999
758,tak,tak,1,740
367,tak,tak,9,860
683,tak,tak,5,397
220,tak,tak,4,951
162,nie,tak,2,134
827,tak,tak,2,1131
,nie,nie,10,102
76,tak,tak,5,822
750,tak,tak,1,598
504,tak,tak,9,79
,nie,nie,9,1124
374,tak,tak,10,1083
,tak,nie,2,1092
692,nie,tak,7,1
629,tak,tak,3,982
292,tak,tak,3,58
921,nie,tak,5,624
518,tak,tak,6,514
,tak,nie,5,434
,tak,nie,3,120
569,tak,tak,10,742
723,nie,tak,2,260
38,nie,tak,5,723
,tak,nie,5,192
348,tak,tak,1,998
657,tak,tak,3,1218
382,tak,tak,8,303
,tak,nie,9,420
313,tak,tak,2,339
705,tak,tak,9,276
677,tak,tak,8,515
2,tak,tak,8,803
127,nie,tak,8,43
663,nie,tak,6,80
,tak,nie,3,64
234,tak,tak,1,677
641,tak,tak,4,353
968,tak,tak,5,903
705,tak,tak,8,551
,tak,nie,5,417
349,nie,tak,2,191
281,tak,tak,6,1022
980,tak,tak,1,365
434,nie,tak,6,98
63,tak,tak,8,380
555,nie,tak,10,358
,tak,nie,7,894
83,tak,tak,8,441
,tak,nie,2,1003
204,nie,tak,8,1030
655,tak,tak,1,902
927,tak,tak,1,786
871,tak,tak,7,499
327,tak,tak,2,654
562,nie,tak,2,1222
223,nie,tak,6,1180
707,tak,tak,8,203
809,tak,tak,6,65
579,tak,tak,8,1079
283,tak,tak,6,565
759,tak,tak,9,27
153,tak,tak,6,626
992,tak,tak,5,273
253,tak,tak,5,676
,tak,nie,7,889
,tak,nie,5,965
611,nie,tak,10,164
381,tak,tak,10,1067
573,nie,tak,4,259
635,tak,tak,7,544
333,nie,tak,2,553
846,tak,tak,3,973
93,tak,tak,4,125
837,tak,tak,5,288
995,tak,tak,4,376
517,nie,tak,7,115
242,tak,tak,9,619
,nie,nie,8,980
575,tak,tak,5,580
,tak,nie,10,502
110,tak,tak,9,745
398,tak,tak,6,573
34,tak,tak,6,541
218,tak,tak,1,1981
154,tak,tak,4,1468
369,tak,tak,6,1933
941,tak,tak,2,1824
408,nie,tak,1,1817
425,tak,tak,2,1543
348,tak,tak,1,1743
974,tak,tak,6,1375
,tak,nie,10,1765
312,tak,tak,7,1617
246,tak,tak,7,1678
,tak,nie,3,1625
333,nie,tak,6,1841
736,tak,tak,5,1467
315,nie,tak,5,1623
619,tak,tak,9,1768
645,tak,tak,3,1378
470,tak,tak,3,1715
15,nie,tak,2,1723
789,tak,tak,6,1906
451,tak,tak,6,1436
,tak,nie,2,2008
658,nie,tak,4,1767
795,tak,tak,1,1604
,tak,nie,5,1913
19,tak,tak,3,1476
,tak,nie,9,1741
377,tak,tak,7,1783
482,nie,tak,9,1911
578,tak,tak,1,1348
875,nie,tak,3,1564
49,nie,tak,4,1536
966,tak,tak,7,1895
21,tak,tak,7,1689
,tak,nie,8,1788
91,tak,tak,4,1582
179,tak,tak,5,1851
263,nie,tak,5,1989
520,tak,tak,4,1987
988,tak,tak,8,1445
434,tak,tak,6,1951
945,nie,tak,10,1635
315,tak,tak,7,1606
596,tak,tak,2,1289
503,tak,tak,7,1537
,tak,nie,3,1450
204,tak,tak,9,1341
167,tak,tak,10,1968
849,tak,tak,10,1392
659,tak,tak,9,1518
286,nie,tak,5,1938
537,tak,tak,1,1509
273,tak,tak,5,1517
943,tak,tak,2,1367
,tak,nie,2,1399
243,tak,tak,6,1362
,tak,nie,7,1709
98,tak,tak,10,1696
637,nie,tak,3,1919
686,tak,tak,5,1384
264,tak,tak,5,1435
186,tak,tak,4,1877
778,tak,tak,7,1770
353,tak,tak,10,1356
629,tak,tak,1,1932
617,nie,tak,6,1852
,tak,nie,6,1481
922,tak,tak,4,1854
669,nie,tak,10,1780
466,tak,tak,7,1942
605,nie,tak,2,1943
56,tak,tak,5,1916
349,nie,tak,5,1325
365,nie,tak,4,1354
2,tak,tak,3,1835
89,tak,tak,8,1336
,tak,nie,5,1570
360,tak,tak,1,1556
,tak,nie,7,1636
415,nie,tak,6,1381
447,tak,tak,4,1463
527,tak,tak,10,1352
,tak,nie,9,1730
927,tak,tak,9,1263
287,tak,tak,4,1361
58,tak,tak,7,1950
567,tak,tak,7,1663
537,tak,tak,2,1971
952,tak,tak,7,1845
,tak,nie,3,1273
906,tak,tak,4,1288
478,nie,tak,3,1489
279,tak,tak,5,1374
938,tak,tak,6,1388
729,tak,tak,9,1828
36,tak,tak,7,1598
,tak,nie,8,1648
273,tak,tak,2,1908
814,nie,tak,3,1733
852,tak,tak,9,1515
